   beta  sigma    tau
  0.010100.688100.952
  0.020 47.410 47.538
  0.030 31.390 31.310
  0.040 24.429 24.464
  0.050 20.007 19.770
  0.060 16.543 16.512
  0.070 14.398 14.443
  0.080 13.130 13.080
  0.090 10.907 10.891
  0.100 10.358 10.259
  0.110  8.620  8.713
  0.120  8.548  8.534
  0.130  7.976  8.076
  0.140  7.565  7.593
  0.150  6.641  6.712
  0.160  6.296  6.305
  0.170  5.800  5.771
  0.180  5.563  5.612
  0.190  5.296  5.331
  0.200  4.987  4.915
  0.210  4.860  4.774
  0.220  4.456  4.578
  0.230  4.284  4.282
  0.240  4.134  4.004
  0.250  4.139  4.088
  0.260  3.895  3.897
  0.270  3.738  3.725
  0.280  3.422  3.452
  0.290  3.374  3.435
  0.300  3.387  3.459
  0.310  3.126  3.136
  0.320  3.207  3.164
  0.330  2.951  2.934
  0.340  3.028  3.003
  0.350  2.889  2.855
  0.360  2.874  2.828
  0.370  2.637  2.572
  0.380  2.671  2.649
  0.390  2.460  2.432
  0.400  2.564  2.531
  0.410  2.502  2.532
  0.420  2.382  2.405
  0.430  2.358  2.340
  0.440  2.248  2.168
  0.450  2.210  2.252
  0.460  2.194  2.159
  0.470  2.070  2.068
  0.480  1.983  1.969
  0.490  1.999  2.103
  0.500  2.091  2.021
  0.510  1.953  1.954
  0.520  1.974  1.942
  0.530  1.927  1.944
  0.540  1.882  1.937
  0.550  1.821  1.839
  0.560  1.807  1.780
  0.570  1.809  1.779
  0.580  1.772  1.762
  0.590  1.638  1.697
  0.600  1.686  1.719
  0.610  1.717  1.780
  0.620  1.611  1.638
  0.630  1.605  1.628
  0.640  1.554  1.544
  0.650  1.495  1.510
  0.660  1.572  1.553
  0.670  1.495  1.484
  0.680  1.483  1.543
  0.690  1.475  1.445
  0.700  1.445  1.413
  0.710  1.421  1.395
  0.720  1.405  1.417
  0.730  1.381  1.422
  0.740  1.362  1.342
  0.750  1.355  1.389
  0.760  1.323  1.299
  0.770  1.307  1.270
  0.780  1.270  1.260
  0.790  1.266  1.281
  0.800  1.253  1.238
  0.810  1.264  1.239
  0.820  1.244  1.190
  0.830  1.215  1.166
  0.840  1.185  1.280
  0.850  1.151  1.155
  0.860  1.140  1.107
  0.870  1.171  1.183
  0.880  1.127  1.121
  0.890  1.142  1.190
  0.900  1.121  1.086
  0.910  1.117  1.163
  0.920  1.093  1.018
  0.930  1.079  1.068
  0.940  1.076  1.019
  0.950  1.059  1.028
  0.960  1.051  1.066
  0.970  1.032  1.089
  0.980  1.027  1.054
  0.990  1.008  1.010
  1.000  1.000  1.012
