      t  p_emp  p_exa
  0.000  1.000  1.000
  0.001  0.997  0.997
  0.002  0.995  0.994
  0.003  0.992  0.991
  0.004  0.988  0.988
  0.005  0.986  0.985
  0.006  0.982  0.982
  0.007  0.982  0.979
  0.008  0.976  0.976
  0.009  0.970  0.974
  0.010  0.972  0.971
  0.011  0.967  0.968
  0.012  0.963  0.965
  0.013  0.961  0.962
  0.014  0.960  0.959
  0.015  0.956  0.956
  0.016  0.949  0.954
  0.017  0.952  0.951
  0.018  0.949  0.948
  0.019  0.949  0.945
  0.020  0.943  0.943
  0.021  0.938  0.940
  0.022  0.939  0.937
  0.023  0.936  0.934
  0.024  0.934  0.932
  0.025  0.933  0.929
  0.026  0.924  0.926
  0.027  0.917  0.924
  0.028  0.916  0.921
  0.029  0.913  0.918
  0.030  0.914  0.916
  0.031  0.915  0.913
  0.032  0.907  0.910
  0.033  0.909  0.908
  0.034  0.905  0.905
  0.035  0.902  0.903
  0.036  0.903  0.900
  0.037  0.899  0.897
  0.038  0.893  0.895
  0.039  0.891  0.892
  0.040  0.889  0.890
  0.041  0.885  0.887
  0.042  0.890  0.885
  0.043  0.885  0.882
  0.044  0.881  0.880
  0.045  0.880  0.877
  0.046  0.876  0.875
  0.047  0.869  0.872
  0.048  0.871  0.870
  0.049  0.875  0.868
  0.050  0.867  0.865
  0.051  0.864  0.863
  0.052  0.857  0.860
  0.053  0.856  0.858
  0.054  0.853  0.856
  0.055  0.856  0.853
  0.056  0.852  0.851
  0.057  0.847  0.849
  0.058  0.845  0.846
  0.059  0.845  0.844
  0.060  0.838  0.842
  0.061  0.840  0.839
  0.062  0.829  0.837
  0.063  0.841  0.835
  0.064  0.829  0.832
  0.065  0.826  0.830
  0.066  0.828  0.828
  0.067  0.831  0.826
  0.068  0.826  0.823
  0.069  0.822  0.821
  0.070  0.818  0.819
  0.071  0.816  0.817
  0.072  0.818  0.815
  0.073  0.812  0.812
  0.074  0.805  0.810
  0.075  0.815  0.808
  0.076  0.806  0.806
  0.077  0.801  0.804
  0.078  0.804  0.802
  0.079  0.795  0.799
  0.080  0.796  0.797
  0.081  0.796  0.795
  0.082  0.797  0.793
  0.083  0.799  0.791
  0.084  0.784  0.789
  0.085  0.790  0.787
  0.086  0.792  0.785
  0.087  0.789  0.783
  0.088  0.789  0.781
  0.089  0.779  0.779
  0.090  0.773  0.777
  0.091  0.771  0.775
  0.092  0.770  0.773
  0.093  0.769  0.771
  0.094  0.776  0.769
  0.095  0.769  0.767
  0.096  0.773  0.765
  0.097  0.768  0.763
  0.098  0.757  0.761
  0.099  0.754  0.759
  0.100  0.755  0.757
  0.101  0.752  0.755
  0.102  0.752  0.753
  0.103  0.748  0.751
  0.104  0.753  0.749
  0.105  0.750  0.747
  0.106  0.750  0.745
  0.107  0.741  0.743
  0.108  0.737  0.742
  0.109  0.742  0.740
  0.110  0.741  0.738
  0.111  0.742  0.736
  0.112  0.735  0.734
  0.113  0.734  0.732
  0.114  0.736  0.731
  0.115  0.729  0.729
  0.116  0.725  0.727
  0.117  0.728  0.725
  0.118  0.720  0.723
  0.119  0.727  0.722
  0.120  0.723  0.720
  0.121  0.717  0.718
  0.122  0.719  0.716
  0.123  0.712  0.714
  0.124  0.717  0.713
  0.125  0.716  0.711
  0.126  0.710  0.709
  0.127  0.707  0.708
  0.128  0.712  0.706
  0.129  0.706  0.704
  0.130  0.707  0.702
  0.131  0.710  0.701
  0.132  0.696  0.699
  0.133  0.693  0.697
  0.134  0.697  0.696
  0.135  0.698  0.694
  0.136  0.682  0.692
  0.137  0.698  0.691
  0.138  0.690  0.689
  0.139  0.684  0.687
  0.140  0.687  0.686
  0.141  0.683  0.684
  0.142  0.674  0.683
  0.143  0.690  0.681
  0.144  0.679  0.679
  0.145  0.685  0.678
  0.146  0.681  0.676
  0.147  0.681  0.675
  0.148  0.682  0.673
  0.149  0.670  0.671
  0.150  0.667  0.670
  0.151  0.660  0.668
  0.152  0.661  0.667
  0.153  0.657  0.665
  0.154  0.666  0.664
  0.155  0.659  0.662
  0.156  0.661  0.661
  0.157  0.656  0.659
  0.158  0.664  0.658
  0.159  0.657  0.656
  0.160  0.657  0.655
  0.161  0.652  0.653
  0.162  0.657  0.652
  0.163  0.655  0.650
  0.164  0.651  0.649
  0.165  0.653  0.647
  0.166  0.649  0.646
  0.167  0.655  0.644
  0.168  0.647  0.643
  0.169  0.651  0.642
  0.170  0.639  0.640
  0.171  0.642  0.639
  0.172  0.637  0.637
  0.173  0.639  0.636
  0.174  0.641  0.635
  0.175  0.633  0.633
  0.176  0.634  0.632
  0.177  0.632  0.630
  0.178  0.636  0.629
  0.179  0.628  0.628
  0.180  0.631  0.626
  0.181  0.624  0.625
  0.182  0.632  0.624
  0.183  0.629  0.622
  0.184  0.616  0.621
  0.185  0.621  0.620
  0.186  0.613  0.618
  0.187  0.616  0.617
  0.188  0.616  0.616
  0.189  0.612  0.614
  0.190  0.612  0.613
  0.191  0.618  0.612
  0.192  0.607  0.610
  0.193  0.615  0.609
  0.194  0.614  0.608
  0.195  0.614  0.607
  0.196  0.604  0.605
  0.197  0.598  0.604
  0.198  0.603  0.603
  0.199  0.603  0.602
  0.200  0.601  0.600
  0.201  0.602  0.599
  0.202  0.597  0.598
  0.203  0.596  0.597
  0.204  0.597  0.595
  0.205  0.593  0.594
  0.206  0.594  0.593
  0.207  0.604  0.592
  0.208  0.594  0.591
  0.209  0.588  0.589
  0.210  0.590  0.588
  0.211  0.588  0.587
  0.212  0.597  0.586
  0.213  0.591  0.585
  0.214  0.588  0.583
  0.215  0.586  0.582
  0.216  0.588  0.581
  0.217  0.587  0.580
  0.218  0.583  0.579
  0.219  0.574  0.578
  0.220  0.571  0.577
  0.221  0.575  0.575
  0.222  0.576  0.574
  0.223  0.574  0.573
  0.224  0.571  0.572
  0.225  0.572  0.571
  0.226  0.564  0.570
  0.227  0.560  0.569
  0.228  0.572  0.568
  0.229  0.567  0.567
  0.230  0.561  0.565
  0.231  0.562  0.564
  0.232  0.564  0.563
  0.233  0.562  0.562
  0.234  0.547  0.561
  0.235  0.564  0.560
  0.236  0.561  0.559
  0.237  0.554  0.558
  0.238  0.552  0.557
  0.239  0.556  0.556
  0.240  0.543  0.555
  0.241  0.550  0.554
  0.242  0.560  0.553
  0.243  0.552  0.552
  0.244  0.546  0.551
  0.245  0.550  0.550
