/home/dominik/Population-Genetics/Programs/cpp_programs/src/.libs/lt-moran_model_boundary_mutation -n 100 -t 10000000 -m 0.1 
Jump   100000; time 16344.9;   81 to   80.
Jump   200000; time 34333.6;    9 to    8.
Jump   300000; time 48354.4;   61 to   60.
Jump   400000; time 62845.0;   13 to   12.
Jump   500000; time 79845.0;    1 to    2.
Jump   600000; time 95962.4;    3 to    2.
Jump   700000; time 113177.1;   91 to   92.
Jump   800000; time 128347.7;    3 to    2.
Jump   900000; time 143028.5;   13 to   12.
Jump  1000000; time 156442.0;    3 to    4.
Jump  1100000; time 173884.8;   17 to   16.
Jump  1200000; time 188376.2;   35 to   36.
Jump  1300000; time 202009.6;   73 to   72.
Jump  1400000; time 215423.4;   47 to   48.
Jump  1500000; time 228511.6;   89 to   90.
Jump  1600000; time 246867.9;   29 to   28.
Jump  1700000; time 262349.6;   61 to   62.
Jump  1800000; time 272908.0;   67 to   68.
Jump  1900000; time 291127.1;    9 to    8.
Jump  2000000; time 303985.7;   79 to   80.
Jump  2100000; time 319495.1;   41 to   40.
Jump  2200000; time 330414.4;   19 to   20.
Jump  2300000; time 344262.3;    9 to   10.
Jump  2400000; time 360172.6;   81 to   80.
Jump  2500000; time 375378.1;   93 to   92.
Jump  2600000; time 390854.7;   53 to   54.
Jump  2700000; time 402817.6;    9 to   10.
Jump  2800000; time 420312.6;   47 to   48.
Jump  2900000; time 431449.6;   83 to   84.
Jump  3000000; time 446773.5;   15 to   14.
Jump  3100000; time 463990.6;   41 to   40.
Jump  3200000; time 481873.6;   37 to   38.
Jump  3300000; time 497826.7;   99 to   98.
Jump  3400000; time 511232.6;   57 to   56.
Jump  3500000; time 528676.0;   97 to   98.
Jump  3600000; time 544282.6;   93 to   94.
Jump  3700000; time 558889.9;   61 to   62.
Jump  3800000; time 572502.2;   63 to   64.
Jump  3900000; time 583647.1;   65 to   64.
Jump  4000000; time 601777.4;   21 to   22.
Jump  4100000; time 616601.3;   43 to   42.
Jump  4200000; time 632514.6;   65 to   66.
Jump  4300000; time 648021.8;   97 to   96.
Jump  4400000; time 665411.9;   89 to   88.
Jump  4500000; time 680196.0;   25 to   24.
Jump  4600000; time 695698.6;   33 to   32.
Jump  4700000; time 712679.5;    3 to    2.
