/home/dominik/Population-Genetics/Programs/cpp_programs/src/.libs/lt-moran_model_boundary_mutation -n 1000 -t 7000000 -m 0.1 
Jump   100000; time  6646.3;  207 to  206.
Jump   200000; time 12568.2;    9 to    8.
Jump   300000; time 16553.7;  235 to  234.
Jump   400000; time 16865.6;   39 to   38.
Jump   500000; time 18049.0;  531 to  532.
Jump   600000; time 22366.8;  823 to  822.
Jump   700000; time 22652.7;  743 to  744.
Jump   800000; time 22896.1;  515 to  514.
Jump   900000; time 25260.8;  735 to  734.
Jump  1000000; time 25558.2;  691 to  692.
Jump  1100000; time 25864.7;  831 to  830.
Jump  1200000; time 26168.9;  841 to  842.
Jump  1300000; time 26551.9;  851 to  850.
Jump  1400000; time 27905.4;  833 to  834.
Jump  1500000; time 28191.8;  849 to  850.
Jump  1600000; time 29064.6;  659 to  658.
Jump  1700000; time 34014.6;  961 to  962.
Jump  1800000; time 40202.5;  967 to  968.
Jump  1900000; time 46530.8;  711 to  710.
Jump  2000000; time 46754.3;  565 to  566.
Jump  2100000; time 51081.1;   65 to   64.
Jump  2200000; time 52668.7;  125 to  126.
Jump  2300000; time 54748.9;   23 to   24.
Jump  2400000; time 55146.4;  329 to  328.
Jump  2500000; time 55365.1;  875 to  874.
Jump  2600000; time 55665.9;  611 to  612.
Jump  2700000; time 56107.6;  753 to  754.
Jump  2800000; time 56315.5;  545 to  546.
Jump  2900000; time 56563.0;  263 to  264.
Jump  3000000; time 56780.1;  421 to  420.
Jump  3100000; time 58287.0;  855 to  854.
Jump  3200000; time 59023.1;  241 to  242.
Jump  3300000; time 65709.7;  157 to  156.
Jump  3400000; time 66004.0;  339 to  338.
Jump  3500000; time 70705.3;  523 to  524.
Jump  3600000; time 70918.8;  565 to  566.
Jump  3700000; time 72798.5;  107 to  108.
Jump  3800000; time 73031.7;  419 to  420.
Jump  3900000; time 73286.3;  169 to  168.
Jump  4000000; time 73599.3;  483 to  484.
Jump  4100000; time 73810.9;  523 to  522.
Jump  4200000; time 74020.3;  503 to  504.
Jump  4300000; time 74262.5;  825 to  824.
Jump  4400000; time 74518.7;  787 to  786.
Jump  4500000; time 74863.9;  117 to  116.
Jump  4600000; time 78259.7;   61 to   60.
Jump  4700000; time 79686.0;   47 to   46.
Jump  4800000; time 83648.6;  255 to  256.
Jump  4900000; time 83951.4;  283 to  282.
Jump  5000000; time 88938.0;  199 to  200.
Jump  5100000; time 89157.2;  523 to  522.
Jump  5200000; time 89400.1;  279 to  280.
Jump  5300000; time 89850.8;  325 to  324.
Jump  5400000; time 90064.7;  485 to  484.
Jump  5500000; time 90278.3;  441 to  440.
Jump  5600000; time 90535.8;   91 to   92.
Jump  5700000; time 93280.9;  291 to  290.
Jump  5800000; time 93983.6;  167 to  168.
Jump  5900000; time 99438.0;  235 to  234.
Jump  6000000; time 99713.1;  241 to  242.
Jump  6100000; time 102018.1;  185 to  184.
Jump  6200000; time 102473.0;  125 to  124.
Jump  6300000; time 102728.1;  381 to  380.
Jump  6400000; time 102956.5;  639 to  640.
Jump  6500000; time 103218.9;  719 to  718.
Jump  6600000; time 106089.7;  821 to  822.
Jump  6700000; time 109687.9;  789 to  788.
Jump  6800000; time 109911.4;  337 to  338.
Jump  6900000; time 110132.0;  305 to  306.
Jump  7000000; time 110355.0;  163 to  162.
Jump  7100000; time 110618.5;  117 to  118.
Jump  7200000; time 110877.9;  717 to  716.
Jump  7300000; time 111161.1;  759 to  760.
Jump  7400000; time 111992.0;  791 to  790.
Jump  7500000; time 119532.7;  949 to  950.
Jump  7600000; time 123132.0;  905 to  904.
Jump  7700000; time 125665.5;  927 to  926.
Jump  7800000; time 126609.4;  797 to  796.
Jump  7900000; time 126828.3;  617 to  618.
Jump  8000000; time 127152.2;  615 to  616.
Jump  8100000; time 127490.1;  615 to  616.
Jump  8200000; time 127695.5;  421 to  420.
Jump  8300000; time 127910.9;  459 to  458.
Jump  8400000; time 128497.4;  711 to  712.
Jump  8500000; time 128763.5;  877 to  876.
Jump  8600000; time 138102.1;  861 to  862.
Jump  8700000; time 145636.5;  899 to  898.
Jump  8800000; time 146718.2;  827 to  828.
Jump  8900000; time 150083.9;  851 to  850.
Jump  9000000; time 152321.9;  611 to  610.
Jump  9100000; time 154270.8;  737 to  736.
Jump  9200000; time 156130.6;  901 to  900.
Jump  9300000; time 156410.3;  523 to  522.
Jump  9400000; time 160848.5;  131 to  132.
Jump  9500000; time 161150.5;  311 to  310.
Jump  9600000; time 161359.4;  475 to  474.
Jump  9700000; time 161570.4;  527 to  528.
Jump  9800000; time 164620.4;  103 to  104.
Jump  9900000; time 168848.0;   89 to   88.
Jump 10000000; time 169869.3;  257 to  258.
Jump 10100000; time 172744.2;  211 to  210.
Jump 10200000; time 176688.8;   13 to   12.
Jump 10300000; time 182765.4;  497 to  496.
Jump 10400000; time 182989.2;  891 to  892.
Jump 10500000; time 188126.6;  577 to  576.
Jump 10600000; time 192674.7;  741 to  740.
Jump 10700000; time 192887.5;  333 to  334.
Jump 10800000; time 193121.0;  437 to  438.
Jump 10900000; time 193336.8;  517 to  516.
Jump 11000000; time 193625.7;  121 to  122.
Jump 11100000; time 194010.6;   75 to   76.
Jump 11200000; time 194281.2;  873 to  874.
Jump 11300000; time 199269.4;  677 to  678.
Jump 11400000; time 200999.6;   17 to   16.
Jump 11500000; time 201648.2;  521 to  522.
Jump 11600000; time 201854.9;  535 to  534.
Jump 11700000; time 202123.6;  291 to  292.
Jump 11800000; time 206923.1;  295 to  294.
Jump 11900000; time 207140.6;  289 to  290.
Jump 12000000; time 207427.1;  527 to  528.
Jump 12100000; time 207644.9;  467 to  468.
Jump 12200000; time 207849.3;  431 to  432.
Jump 12300000; time 208054.4;  481 to  482.
Jump 12400000; time 208314.0;  299 to  300.
Jump 12500000; time 208612.5;  163 to  162.
Jump 12600000; time 209236.1;  299 to  300.
Jump 12700000; time 209525.8;  653 to  652.
Jump 12800000; time 209790.3;  817 to  816.
Jump 12900000; time 210048.1;  369 to  370.
Jump 13000000; time 210262.8;  413 to  414.
Jump 13100000; time 210508.0;  515 to  516.
Jump 13200000; time 210720.9;  189 to  190.
Jump 13300000; time 212144.8;  341 to  340.
Jump 13400000; time 212814.1;  791 to  792.
Jump 13500000; time 213937.9;  781 to  780.
Jump 13600000; time 214281.2;  909 to  908.
Jump 13700000; time 216632.7;  759 to  760.
Jump 13800000; time 216928.5;  817 to  816.
Jump 13900000; time 223321.2;  879 to  880.
Jump 14000000; time 228215.9;  599 to  600.
Jump 14100000; time 228430.1;  423 to  422.
Jump 14200000; time 228650.3;  705 to  704.
Jump 14300000; time 228861.5;  351 to  350.
Jump 14400000; time 229090.2;  339 to  340.
Jump 14500000; time 231026.4;   19 to   20.
Jump 14600000; time 231775.7;  301 to  300.
Jump 14700000; time 236613.7;    7 to    8.
Jump 14800000; time 239582.1;  203 to  202.
Jump 14900000; time 242168.8;  781 to  782.
Jump 15000000; time 244781.4;  925 to  926.
Jump 15100000; time 246294.9;  859 to  858.
